,3264-NUSVR--nu=0.05-C=0.1,3264-NUSVR--nu=0.1-C=0.1,3264-NUSVR--nu=0.15-C=0.1,3264-NUSVR--nu=0.25-C=0.1,3264-NUSVR--nu=0.5-C=0.1,3264-NUSVR--nu=0.75-C=0.1,3264-NUSVR--nu=0.05-C=0.5,3264-NUSVR--nu=0.1-C=0.5,3264-NUSVR--nu=0.15-C=0.5,3264-NUSVR--nu=0.25-C=0.5,3264-NUSVR--nu=0.5-C=0.5,3264-NUSVR--nu=0.75-C=0.5,3264-NUSVR--nu=0.05-C=0.75,3264-NUSVR--nu=0.1-C=0.75,3264-NUSVR--nu=0.15-C=0.75,3264-NUSVR--nu=0.25-C=0.75,3264-NUSVR--nu=0.5-C=0.75,3264-NUSVR--nu=0.75-C=0.75,3264-NUSVR--nu=0.05-C=1,3264-NUSVR--nu=0.1-C=1,3264-NUSVR--nu=0.15-C=1,3264-NUSVR--nu=0.25-C=1,3264-NUSVR--nu=0.5-C=1,3264-NUSVR--nu=0.75-C=1,3264-NUSVR--nu=0.05-C=10,3264-NUSVR--nu=0.1-C=10,3264-NUSVR--nu=0.15-C=10,3264-NUSVR--nu=0.25-C=10,3264-NUSVR--nu=0.5-C=10,3264-NUSVR--nu=0.75-C=10
5638,,,,,ZNF410,PRR18,,,,,ZNF445,PRRG1,,,,,ZNF445,PRR13,,,,,ZNF445,PRR14L,,,,,ZNF496,PRR5L
5639,,,,,ZNF429,PRR5,,,,,ZNF446,PRRG4,,,,,ZNF446,PRR14,,,,,ZNF446,PRR18,,,,,ZNF500,PRR7
5640,,,,,ZNF43,PRR5L,,,,,ZNF462,PRRT3,,,,,ZNF462,PRR14L,,,,,ZNF462,PRR5,,,,,ZNF503,PRRG1
5641,,,,,ZNF431,PRR7,,,,,ZNF485,PRSS12,,,,,ZNF485,PRR18,,,,,ZNF485,PRR5L,,,,,ZNF506,PRRG4
5642,,,,,ZNF445,PRRG1,,,,,ZNF493,PRSS16,,,,,ZNF493,PRR5,,,,,ZNF493,PRR7,,,,,ZNF512B,PRRT3
5643,,,,,ZNF446,PRRG4,,,,,ZNF496,PRSS2,,,,,ZNF496,PRR5L,,,,,ZNF496,PRRG1,,,,,ZNF513,PRSS12
5644,,,,,ZNF462,PRRT3,,,,,ZNF500,PRSS23,,,,,ZNF500,PRR7,,,,,ZNF500,PRRG4,,,,,ZNF514,PRSS16
5645,,,,,ZNF485,PRSS12,,,,,ZNF503,PRSS3,,,,,ZNF503,PRRG1,,,,,ZNF503,PRRT3,,,,,ZNF518A,PRSS2
5646,,,,,ZNF493,PRSS16,,,,,ZNF506,PRSS30P,,,,,ZNF506,PRRG4,,,,,ZNF506,PRSS12,,,,,ZNF518B,PRSS23
5647,,,,,ZNF496,PRSS2,,,,,ZNF512B,PRSS35,,,,,ZNF512B,PRRT3,,,,,ZNF512B,PRSS16,,,,,ZNF521,PRSS3
5648,,,,,ZNF500,PRSS23,,,,,ZNF513,PRSS36,,,,,ZNF513,PRSS12,,,,,ZNF513,PRSS2,,,,,ZNF532,PRSS30P
5649,,,,,ZNF503,PRSS3,,,,,ZNF514,PRTFDC1,,,,,ZNF514,PRSS16,,,,,ZNF514,PRSS23,,,,,ZNF546,PRSS35
5650,,,,,ZNF506,PRSS30P,,,,,ZNF518A,PRTG,,,,,ZNF518A,PRSS2,,,,,ZNF518A,PRSS3,,,,,ZNF551,PRSS36
5651,,,,,ZNF512B,PRSS35,,,,,ZNF518B,PRTN3,,,,,ZNF518B,PRSS23,,,,,ZNF518B,PRSS30P,,,,,ZNF552,PRTFDC1
