,1850-NUSVR--nu=0.05-C=0.1,1850-NUSVR--nu=0.1-C=0.1,1850-NUSVR--nu=0.15-C=0.1,1850-NUSVR--nu=0.25-C=0.1,1850-NUSVR--nu=0.5-C=0.1,1850-NUSVR--nu=0.75-C=0.1,1850-NUSVR--nu=0.05-C=0.5,1850-NUSVR--nu=0.1-C=0.5,1850-NUSVR--nu=0.15-C=0.5,1850-NUSVR--nu=0.25-C=0.5,1850-NUSVR--nu=0.5-C=0.5,1850-NUSVR--nu=0.75-C=0.5,1850-NUSVR--nu=0.05-C=0.75,1850-NUSVR--nu=0.1-C=0.75,1850-NUSVR--nu=0.15-C=0.75,1850-NUSVR--nu=0.25-C=0.75,1850-NUSVR--nu=0.5-C=0.75,1850-NUSVR--nu=0.75-C=0.75,1850-NUSVR--nu=0.05-C=1,1850-NUSVR--nu=0.1-C=1,1850-NUSVR--nu=0.15-C=1,1850-NUSVR--nu=0.25-C=1,1850-NUSVR--nu=0.5-C=1,1850-NUSVR--nu=0.75-C=1,1850-NUSVR--nu=0.05-C=10,1850-NUSVR--nu=0.1-C=10,1850-NUSVR--nu=0.15-C=10,1850-NUSVR--nu=0.25-C=10,1850-NUSVR--nu=0.5-C=10,1850-NUSVR--nu=0.75-C=10
1659,,,WHAMMP2,NT5M,FCRL2,CTNNAL1,,,WHAMMP3,NT5DC1,FCRL2,CTNNAL1,,,WIPF1,NTAN1,FDCSP,CTNNBIP1,,,WHAMMP3,NTN1,FDCSP,CTNNAL1,,,WHAMMP2,NTAN1,FCRLA,CTNNAL1
1660,,,WHAMMP3,NTAN1,FCRL6,CTNNBIP1,,,WIPF1,NT5M,FCRL6,CTNNBIP1,,,WNK1,NTN1,FDFT1,CTNNBL1,,,WIPF1,NUBP2,FDFT1,CTNNBIP1,,,WHAMMP3,NTN1,FDCSP,CTNNBIP1
1661,,,WIPF1,NTN1,FCRLA,CTNNBL1,,,WNK1,NTAN1,FCRLA,CTNNBL1,,,WWC3,NUBP2,FECH,CTNND1,,,WNK1,NUCB1,FECH,CTNNBL1,,,WIPF1,NUBP2,FDFT1,CTNNBL1
1662,,,WNK1,NUBP2,FDCSP,CTNND1,,,WWC3,NTN1,FDCSP,CTNND1,,,WWTR1,NUCB1,FEM1B,CTNND2,,,WWC3,NUCB2,FEM1B,CTNND1,,,WNK1,NUCB1,FECH,CTNND1
1663,,,WWC3,NUCB1,FDFT1,CTNND2,,,WWTR1,NUBP2,FDFT1,CTNND2,,,XCL2,NUCB2,FERMT3,CTNS,,,WWTR1,NUDCD1,FERMT3,CTNND2,,,WWC3,NUCB2,FEM1B,CTNND2
1664,,,WWTR1,NUCB2,FECH,CTNS,,,XCL2,NUCB1,FECH,CTNS,,,XIST,NUDCD1,FES,CTPS1,,,XCL2,NUDCD2,FES,CTNS,,,WWTR1,NUDCD1,FERMT3,CTNS
1665,,,XCL2,NUDCD1,FEM1B,CTPS1,,,XIST,NUCB2,FEM1B,CTPS1,,,XKR6,NUDCD2,FEZ1,CTSA,,,XIST,NUDT1,FEZ1,CTPS1,,,XCL2,NUDCD2,FES,CTPS1
1666,,,XIST,NUDCD2,FERMT3,CTSA,,,XKR6,NUDCD1,FERMT3,CTSA,,,XPA,NUDT1,FEZ2,CTSC,,,XKR6,NUDT16,FEZ2,CTSA,,,XIST,NUDT1,FEZ1,CTSA
1667,,,XKR6,NUDT1,FES,CTSC,,,XPA,NUDCD2,FES,CTSC,,,XPO6,NUDT16,FFAR2,CTSE,,,XPA,NUMB,FFAR2,CTSC,,,XKR6,NUDT16,FEZ2,CTSC
1668,,,XPA,NUDT16,FEZ1,CTSE,,,XPO6,NUDT1,FEZ1,CTSE,,,YIPF4,NUMB,FGD1,CTSF,,,XPO6,NUP153,FGD1,CTSE,,,XPA,NUMB,FFAR2,CTSE
1669,,,XPO6,NUMB,FEZ2,CTSF,,,YIPF4,NUDT16,FEZ2,CTSF,,,YLPM1,NUP153,FGD2,CTSG,,,YLPM1,NUP188,FGD2,CTSF,,,XPO6,NUP153,FGD1,CTSF
1670,,,YLPM1,NUP153,FFAR2,CTSG,,,YLPM1,NUMB,FFAR2,CTSG,,,YOD1,NUP188,FGD3,CTSH,,,YOD1,NUS1,FGD3,CTSG,,,YLPM1,NUP188,FGD2,CTSG
1671,,,YOD1,NUP188,FGD1,CTSH,,,YOD1,NUP153,FGD1,CTSH,,,YWHAH,NUS1,FGD5,CTSK,,,YWHAH,OAS3,FGD5,CTSH,,,YOD1,NUS1,FGD3,CTSH
1672,,,YWHAH,NUS1,FGD2,CTSK,,,YWHAH,NUP188,FGD2,CTSK,,,YY1AP1,OAS3,FGD6,CTSO,,,YY1AP1,OAZ2,FGD6,CTSK,,,YWHAH,OAS3,FGD5,CTSK
1673,,,YY1AP1,OAS3,FGD3,CTSO,,,YY1AP1,NUS1,FGD3,CTSO,,,ZAP70,OAZ2,FGF13,CTSS,,,ZAP70,OBSCN,FGF13,CTSO,,,YY1AP1,OAZ2,FGD6,CTSO
1674,,,ZAP70,OAZ2,FGD5,CTSS,,,ZAP70,OAS3,FGD5,CTSS,,,ZBTB10,OBSCN,FGFBP2,CTSW,,,ZBTB10,OCEL1,FGFBP2,CTSS,,,ZAP70,OBSCN,FGF13,CTSS
1675,,,ZBTB25,OBSCN,FGD6,CTSW,,,ZBTB10,OAZ2,FGD6,CTSW,,,ZBTB25,OCEL1,FGFR1OP2,CTTN,,,ZBTB25,ODF2L,FGFR1OP2,CTSW,,,ZBTB10,OCEL1,FGFBP2,CTSW
1676,,,ZBTB49,OCEL1,FGF13,CTTN,,,ZBTB25,OBSCN,FGF13,CTTN,,,ZBTB49,ODF2L,FGFR2,CTTNBP2,,,ZBTB49,OFD1,FGFR2,CTTN,,,ZBTB25,ODF2L,FGFR1OP2,CTTN
1677,,,ZBTB7B,ODF2L,FGFBP2,CTTNBP2,,,ZBTB49,OCEL1,FGFBP2,CTTNBP2,,,ZBTB7B,OFD1,FGL2,CTU1,,,ZBTB7B,OGDH,FGL2,CTTNBP2,,,ZBTB49,OFD1,FGFR2,CTTNBP2
1678,,,ZC3H18,OFD1,FGFR1OP2,CTU1,,,ZBTB7B,ODF2L,FGFR1OP2,CTU1,,,ZC3H18,OGDH,FGR,CUL4B,,,ZC3H18,OGDHL,FGR,CTU1,,,ZBTB7B,OGDH,FGL2,CTU1
1679,,,ZC3H7B,OGDH,FGFR2,CUL4B,,,ZC3H18,OFD1,FGFR2,CUL4B,,,ZC3H7B,OGDHL,FHDC1,CUL7,,,ZC3H7B,OGFR,FHDC1,CUL4B,,,ZC3H18,OGDHL,FGR,CUL4B
1680,,,ZCCHC10,OGDHL,FGL2,CUL7,,,ZC3H7B,OGDH,FGL2,CUL7,,,ZCCHC10,OGFR,FHL2,CUL9,,,ZCCHC10,OGFRL1,FHL2,CUL7,,,ZC3H7B,OGFR,FHDC1,CUL7
1681,,,ZCCHC24,OGFR,FGR,CUL9,,,ZCCHC10,OGDHL,FGR,CUL9,,,ZCCHC24,OGFRL1,FHOD1,CUX2,,,ZCCHC24,OPN3,FHOD1,CUL9,,,ZCCHC10,OGFRL1,FHL2,CUL9
1682,,,ZEB1,OGFRL1,FHDC1,CUX2,,,ZCCHC24,OGFR,FHDC1,CUX2,,,ZEB1,OPN3,FILIP1,CWF19L2,,,ZEB1,OPTN,FILIP1,CUX2,,,ZCCHC24,OPN3,FHOD1,CUX2
1683,,,ZEB2,OPN3,FHL2,CWF19L2,,,ZEB1,OGFRL1,FHL2,CWF19L2,,,ZEB2,OPTN,FIP1L1,CX3CR1,,,ZEB2,ORAI1,FIP1L1,CWF19L2,,,ZEB1,OPTN,FILIP1,CWF19L2
1684,,,ZER1,OPTN,FHOD1,CX3CR1,,,ZEB2,OPN3,FHOD1,CX3CR1,,,ZER1,ORAI1,FKBP15,CXADR,,,ZER1,ORAI2,FKBP15,CX3CR1,,,ZEB2,ORAI1,FIP1L1,CX3CR1
1685,,,ZFAND5,ORAI1,FILIP1,CXADR,,,ZER1,OPTN,FILIP1,CXADR,,,ZFAND5,ORAI2,FKBP1B,CXCL16,,,ZFAND5,ORMDL3,FKBP1B,CXADR,,,ZER1,ORAI2,FKBP15,CXADR
1686,,,ZHX2,ORAI2,FIP1L1,CXCL16,,,ZFAND5,ORAI1,FIP1L1,CXCL16,,,ZHX2,ORMDL3,FKBP4,CXCL17,,,ZHX2,OSBPL2,FKBP4,CXCL16,,,ZFAND5,ORMDL3,FKBP1B,CXCL16
1687,,,ZMAT1,ORMDL3,FKBP15,CXCL17,,,ZHX2,ORAI2,FKBP15,CXCL17,,,ZMAT1,OSBPL2,FKBP5,CXCL8,,,ZMAT1,OSBPL5,FKBP5,CXCL17,,,ZHX2,OSBPL2,FKBP4,CXCL17
1688,,,ZMIZ1,OSBPL2,FKBP1B,CXCL8,,,ZMAT1,ORMDL3,FKBP1B,CXCL8,,,ZMIZ1,OSBPL5,FKBP8,CXCR1,,,ZMIZ1,OSER1,FKBP8,CXCL8,,,ZMAT1,OSBPL5,FKBP5,CXCL8
1689,,,ZMIZ2,OSBPL5,FKBP4,CXCR1,,,ZMIZ1,OSBPL2,FKBP4,CXCR1,,,ZMIZ2,OSER1,FKBP9P1,CXCR2,,,ZMIZ2,OSGEP,FKBP9P1,CXCR1,,,ZMIZ1,OSER1,FKBP8,CXCR1
1690,,,ZMPSTE24,OSER1,FKBP5,CXCR2,,,ZMIZ2,OSBPL5,FKBP5,CXCR2,,,ZMPSTE24,OSGEP,FLI1,CXCR2P1,,,ZMPSTE24,OST4,FLI1,CXCR2,,,ZMIZ2,OSGEP,FKBP9P1,CXCR2
1691,,,ZNF106,OSGEP,FKBP8,CXCR2P1,,,ZMPSTE24,OSER1,FKBP8,CXCR2P1,,,ZNF106,OST4,FLII,CXCR4,,,ZNF106,P2RY1,FLII,CXCR2P1,,,ZMPSTE24,OST4,FLI1,CXCR2P1
1692,,,ZNF131,OST4,FKBP9P1,CXCR4,,,ZNF106,OSGEP,FKBP9P1,CXCR4,,,ZNF131,P2RY1,FLNB,CXCR6,,,ZNF131,P4HB,FLNB,CXCR4,,,ZNF106,P2RY1,FLII,CXCR4
1693,,,ZNF169,P4HB,FLI1,CXCR6,,,ZNF131,OST4,FLI1,CXCR6,,,ZNF169,P4HB,FLOT1,CXXC1,,,ZNF169,PAAF1,FLOT1,CXCR6,,,ZNF131,P4HB,FLNB,CXCR6
1694,,,ZNF185,PAAF1,FLII,CXXC1,,,ZNF169,P2RY1,FLII,CXXC1,,,ZNF185,PAAF1,FLOT2,CXorf38,,,ZNF185,PABPC4,FLOT2,CXXC1,,,ZNF169,PAAF1,FLOT1,CXXC1
1695,,,ZNF195,PABPC4,FLNB,CXorf38,,,ZNF185,P4HB,FLNB,CXorf38,,,ZNF195,PABPC4,FLRT3,CXorf40A,,,ZNF195,PACS1,FLRT3,CXorf38,,,ZNF185,PABPC4,FLOT2,CXorf38
1696,,,ZNF217,PACS1,FLOT1,CXorf40A,,,ZNF195,PAAF1,FLOT1,CXorf40A,,,ZNF217,PACS1,FLT1,CYB561,,,ZNF217,PACS2,FLT1,CXorf40A,,,ZNF195,PACS1,FLRT3,CXorf40A
1697,,,ZNF22,PACS2,FLOT2,CYB561,,,ZNF217,PABPC4,FLOT2,CYB561,,,ZNF22,PACS2,FLVCR1,CYB561A3,,,ZNF22,PACSIN2,FLVCR1,CYB561,,,ZNF217,PACS2,FLT1,CYB561
1698,,,ZNF267,PACSIN2,FLRT3,CYB561A3,,,ZNF22,PACS1,FLRT3,CYB561A3,,,ZNF267,PACSIN2,FMC1,CYB561D2,,,ZNF267,PADI2,FMC1,CYB561A3,,,ZNF22,PACSIN2,FLVCR1,CYB561A3
1699,,,ZNF271P,PADI2,FLT1,CYB561D2,,,ZNF267,PACS2,FLT1,CYB561D2,,,ZNF271P,PADI2,FMN1,CYB5A,,,ZNF271P,PAIP2,FMN1,CYB561D2,,,ZNF267,PADI2,FMC1,CYB561D2
